WP;Name/File;Purpose;Contact person;Creators;Creation date;License;Location in repository;
WP4;Prediction Model for Change in Frailty Among Nursing Home Residents;Create a prediction model for change in frailty among nursing home residents.;John N Morris;John N Morris;2021-2025;;DataUsage/WP4/NursingHome/algorithms;
WP4;Profility Profiling Prediction Method;Predict health-related outcomes with high accuracy, taking into account a larger number of predictive variables, and without the need to define how each variable is merged with the prediction logic.;Erez Schachter;Erez Schachter;2021-2026;;DataUsage/WP4/Profiling/algorithms;
WP5;anticholinergic_new_users_adl_decline_hc_valHist.py;Training and validating causal models for estimating treatment effect of starting of AcH medication for ADL;Mikko Nuutinen;Mikko Nuutinen;21.2.2025 (last update);;DataUsage/WP5/algorithms;
WP5;anticholinergic_new_users_cps_decline_hc_valHist.py;Training and validating causal models for estimating treatment effect of starting of AcH medication for CPS;Mikko Nuutinen;Mikko Nuutinen;21.2.2025 (last update);;DataUsage/WP5/algorithms;
WP5;anticholinergic_new_users_falls_hc_valHist.py;Training and validating causal models for estimating treatment effect of starting of AcH medication for falls;Mikko Nuutinen;Mikko Nuutinen;21.2.2025 (last update);;DataUsage/WP5/algorithms;
WP5;anticholinergic_new_users_hospitalization_hc_valHist.py;Training and validating causal models for estimating treatment effect of starting of AcH medication for hospitalization;Mikko Nuutinen;Mikko Nuutinen;21.2.2025 (last update);;DataUsage/WP5/algorithms;
WP5;anticholinergic_new_users_unsteady_gait_hc_valHist.py;Training and validating causal models for estimating treatment effect of starting of AcH medication for unsteady gate;Mikko Nuutinen;Mikko Nuutinen;21.2.2025 (last update);;DataUsage/WP5/algorithms;
WP5;antipsychotics_discont_abs_decline_ltc_valHist.py;Training and validating causal models for estimating treatment effect of discontinue of antipsychotic medication for ABS;Mikko Nuutinen;Mikko Nuutinen;21.2.2025 (last update);;DataUsage/WP5/algorithms;
WP5;antipsychotics_discont_adl_decline_ltc_valHist.py;Training and validating causal models for estimating treatment effect of discontinue of antipsychotic medication for ADL;Mikko Nuutinen;Mikko Nuutinen;21.2.2025 (last update);;DataUsage/WP5/algorithms;
WP5;antipsychotics_discont_chess_decline_ltc_valHist.py;Training and validating causal models for estimating treatment effect of discontinue of antipsychotic medication for CHESS;Mikko Nuutinen;Mikko Nuutinen;21.2.2025 (last update);;DataUsage/WP5/algorithms;
WP5;antipsychotics_discont_cps_decline_ltc_valHist.py;Training and validating causal models for estimating treatment effect of discontinue of antipsychotic medication for CPS;Mikko Nuutinen;Mikko Nuutinen;21.2.2025 (last update);;DataUsage/WP5/algorithms;
WP5;antipsychotics_discont_hospitalization_ltc_valHist.py;Training and validating causal models for estimating treatment effect of discontinue of antipsychotic medication for hospitalization;Mikko Nuutinen;Mikko Nuutinen;21.2.2025 (last update);;DataUsage/WP5/algorithms;
WP6;ICARE4OLD_HC_ver1_20.08_M6.3 Milestone Report;Compare therapy use over time in home care;Ilona Barańska;Ilona Barańska, Paweł Jagielski, Katarzyna Kuciel;20/08/2023;CC BY-NC-SA 4.0;DataUsage/WP6/MS25_ExposureToNPIs/algorithms;
WP6;ICARE4OLD_LTCF_ver1_21.08_M6.3 Milestone Report;Compare therapy use over time in long-term care facilities;Ilona Barańska;Ilona Barańska, Paweł Jagielski, Katarzyna Kuciel;20/08/2024;CC BY-NC-SA 4.0;DataUsage/WP6/MS25_ExposureToNPIs/algorithms;
WP6;ICARE4OLD_Sampe characterisitc_ver1_21.08_M6.3 Milestone Report;Sample characteristics in long-term care facility therapy exposure analysis;Ilona Barańska;Ilona Barańska, Paweł Jagielski, Katarzyna Kuciel;20/08/2025;CC BY-NC-SA 4.0;DataUsage/WP6/MS25_ExposureToNPIs/algorithms;
WP6;TEMPLATE-CLASS-DISC-Exercise-HC;Dichotomous classification of non-pharmacological treatment effects;Eline Kooijmans;Louk Smalbil;May 2025;MIT;DataUsage/WP6/MS26_ImpactOfNPIs/HC/algorithms;
WP6;TEMPLATE-REGRESSION-Exercise-HC;Regression model of non-pharmacological treatment effects;Eline Kooijmans;Louk Smalbil;May 2026;MIT;DataUsage/WP6/MS26_ImpactOfNPIs/HC/algorithms;
WP6;TEMPLATE-CLASS-MULTI-Exercise-HC;Multi-class classification of non-pharmacological treatment effects;Eline Kooijmans;Louk Smalbil;May 2027;MIT;DataUsage/WP6/MS26_ImpactOfNPIs/HC/algorithms;
WP6;PT_ADLSF_ICARE4OLD;Impact of physical therapy on ADL functioning in long-term care;Ilona Barańska;Louk van Remmerden, Paulina Wiśniewska, Ilona Barańska;10/05/2025;CC BY-NC-SA 4.0;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/PhysicalTherapy/algorithms;
WP6;PT_turning_ICARE4OLD;Impact of physical therapy on reducing turning difficulties;Ilona Barańska;Louk van Remmerden, Paulina Wiśniewska, Ilona Barańska;10/05/2025;CC BY-NC-SA;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/PhysicalTherapy/algorithms;
WP6;psychotherapy-adl.ipynb;Effect of psychotherapy on functional status;Dr. Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/Psychotherapy/algorithms;
WP6;psychotherapy-chess.ipynb;Effect of psychotherapy on health changes;Dr. Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/Psychotherapy/algorithms;
WP6;psychotherapy-cps.ipynb;Effect of psychotherapy on cognitive function;Dr. Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/Psychotherapy/algorithms;
WP6;Cards, games, puzzles-adl.ipynb;Effect of Cards, games, puzzles on functional status;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Cards, games, puzzles-chess.ipynb;Effect of Cards, games, puzzles on changes in health;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Cards, games, puzzles-cps.ipynb;Effect of Cards, games, puzzles on cognitive function;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Cards, games, puzzles-hospitalization.ipynb;Effect of Cards, games, puzzles on changes in hospitalization;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Cards, games, puzzles-hui3.ipynb;Effect of Cards, games, puzzles on changes in health-related quality of life (HRQOL);Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Computer activity-adl.ipynb;Effect of Computer activity on functional status;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Computer activity-chess.ipynb;Effect of Computer activity on changes in health;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Computer activity-cps.ipynb;Effect of Computer activity on cognitive function;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Computer activity-hospitalization.ipynb;Effect of Computer activity on changes in hospitalization;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Computer activity-hui3.ipynb;Effect of Computer activity on changes in health-related quality of life (HRQOL);Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Conversing or talking on the phone-adl.ipynb;Effect of Conversing or talking on the phone on functional status;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Conversing or talking on the phone-chess.ipynb;Effect of Conversing or talking on the phone on changes in health;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Conversing or talking on the phone-cps.ipynb;Effect of Conversing or talking on the phone on cognitive function;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Conversing or talking on the phone-hospitalization.ipynb;Effect of Conversing or talking on the phone on changes in hospitalization;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Conversing or talking on the phone-hui3.ipynb;Effect of Conversing or talking on the phone on changes in health-related quality of life (HRQOL);Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Pets-adl.ipynb;Effect of Pets on functional status;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Pets-chess.ipynb;Effect of Pets on changes in health;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Pets-cps.ipynb;Effect of Pets on cognitive function;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Pets-hospitalization.ipynb;Effect of Pets on changes in hospitalization;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Pets-hui3.ipynb;Effect of Pets on changes in health-related quality of life (HRQOL);Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Reading, writing and crossword puzzles-adl.ipynb;Effect of Reading, writing and crossword puzzles on functional status;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Reading, writing and crossword puzzles-chess.ipynb;Effect of Reading, writing and crossword puzzles on changes in health;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Reading, writing and crossword puzzles-cps.ipynb;Effect of Reading, writing and crossword puzzles on cognitive function;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Reading, writing and crossword puzzles-hospitalization.ipynb;Effect of Reading, writing and crossword puzzles on changes in hospitalization;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Reading, writing and crossword puzzles-hui3.ipynb;Effect of Reading, writing and crossword puzzles on changes in health-related quality of life (HRQOL);Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Social engagement-adl.ipynb;Effect of Social engagement on functional status;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Social engagement-chess.ipynb;Effect of Social engagement on changes in health;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Social engagement-cps.ipynb;Effect of Social engagement on cognitive function;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Social engagement-hui3.ipynb;Effect of Social engagement on changes in health-related quality of life (HRQOL);Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;TEMPLATE-CLASS-DISC-v2_if1a_hospitalization.ipynb;Effect of Social engagement on changes in hospitalization;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Spiritual activity-cps.ipynb;Effect of Spiritual activity on cognitive function;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;START_is2l_HUI_Shireen.ipynb ;Effect of Spiritual activity on changes in health-related quality of life (HRQOL);Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;START_is2l_sADLSF_Shireen.ipynb;Effect of Spiritual activity on functional status;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;START_is2l_sCHESS_Shireen-.ipynb;Effect of Spiritual activity on changes in health;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;TEMPLATE-CLASS-DISC-v2_is2l_hospitalization.ipynb;Effect of Spiritual activity on changes in hospitalization;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;START_is2d_HUI3_shireen-.ipynb;Effect of Crafts or Arts on changes in health-related quality of life (HRQOL);Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;START_is2d_sADLSF_shireen.ipynb;Effect of Crafts or Arts on functional status;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;START_is2d_sCHESS_shireen-.ipynb;Effect of Crafts or Arts on changes in health;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;START_is2d_sCPS_shireen.ipynb;Effect of Crafts or Arts on cognitive function;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;TEMPLATE-CLASS-DISC-v2_is2d_hospitalization.ipynb;Effect of Crafts or Arts on changes in hospitalization;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;START_is2i_HUI_Shireen-.ipynb;Effect of Musical therapy on changes in health-related quality of life (HRQOL);Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;START_is2i_sADLSF_Shireen.ipynb;Effect of Musical therapy on functional status;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;START_is2i_sCHESS_Shireen.ipynb;Effect of Musical therapy on changes in health;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;START_is2i_sCPS_newvariables_Musical therapy_CPS.ipynb;Effect of Musical therapy on cognitive function;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;TEMPLATE-CLASS-DISC-v2_is2i_hospitalization.ipynb;Effect of Musical therapy on changes in hospitalization;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Trips or shopping-adl.ipynb;Effect of Trips or shopping on functional status;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Trips or shopping-chess.ipynb;Effect of Trips or shopping on changes in health;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Trips or shopping-cps.ipynb;Effect of Trips or shopping on cognitive function;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Trips or shopping-hospitalization.ipynb;Effect of Trips or shopping on changes in hospitalization;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Trips or shopping-hui3.ipynb;Effect of Trips or shopping on changes in health-related quality of life (HRQOL);Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Walking or wheeling outdoor-adl.ipynb;Effect of Walking or wheeling outdoor on functional status;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Walking or wheeling outdoor-chess.ipynb;Effect of Walking or wheeling outdoor on changes in health;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Walking or wheeling outdoor-cps.ipynb;Effect of Walking or wheeling outdoor on cognitive function;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Walking or wheeling outdoor-hospitalization.ipynb;Effect of Walking or wheeling outdoor on changes in hospitalization;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Walking or wheeling outdoor-hui3.ipynb;Effect of Walking or wheeling outdoor on changes in health-related quality of life (HRQOL);Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
WP6;Watching TV and listening Radio-adl.ipynb;Effect of Watching TV and listening Radio on functional status;Dr.Daniela Fialová;Louk Smalbil, Mark Smalbil, Jindra Reissigová, Jitka Pokladníková, Shireen Aziz;01/2025, package DeliverableM6.4-v5.5;;DataUsage/WP6/MS26_ImpactOfNPIs/LTC/SocialActivities/algorithms;
