Section;Section description;Variable;Variable description;Relevance
iJ;Health Conditions;iJ2e;Chest pain/discomfort;
iJ;Health Conditions;iJ2f;Difficulty clearing airway secretions;
iJ;Health Conditions;iJ2g;Abnormal thought process ;
iJ;Health Conditions;iJ2h;Delusions;
iJ;Health Conditions;iJ2i;Hallucinations ;
iJ;Health Conditions;iJ2j;Aphasia;
iJ;Health Conditions;iJ2k;Constipation;
iJ;Health Conditions;iJ2l;Diarrhea;
iJ;Health Conditions;iJ2m;Acid reflux;
iJ;Health Conditions;iJ2n;Vomiting;
iJ;Health Conditions;iJ2o;Difficulty falling asleep;
iJ;Health Conditions;iJ2p;Too much sleep;
iJ;Health Conditions;iJ2q;Fever;
iJ;Health Conditions;iJ2r;GI/GU bleeding;
iJ;Health Conditions;iJ2s;Peripheral edema;
iJ;Health Conditions;iJ2t;Aspiration;
iJ;Health Conditions;iJ2mm;Poor hygiene ;
iJ;Health Conditions;iJ3;Dyspnea;
iJ;Health Conditions;iJ4;Fatigue;
iJ;Health Conditions;iJ5a;Pain frequency;
iJ;Health Conditions;iJ5b;Pain intensity;
iJ;Health Conditions;iJ5c;Pain consistency;
iJ;Health Conditions;iJ5d;Breakthrough pain;
iJ;Health Conditions;iJ5e;Pain control;
iJ;Health Conditions;iJ6a;Unstable conditions;
iJ;Health Conditions;iJ6b;Flare-up;
iJ;Health Conditions;iJ6c;End-stage disease;
iJ;Health Conditions;iJ7;Self-rated health;
iJ;Health Conditions;iJ8a;Smokes tobacco;
iJ;Health Conditions;iJ8b;Alcohol;
iK;Oral and Nutritional Status;iK1ab;Height - cm;
iK;Oral and Nutritional Status;iK1bb;Weight - kilograms;
iK;Oral and Nutritional Status;iK2a;Weight loss;
iK;Oral and Nutritional Status;iK2b;Fluid intake;
iK;Oral and Nutritional Status;iK2c;Dehydrated;
iK;Oral and Nutritional Status;iK2h;Fluid output exceeds input;
iK;Oral and Nutritional Status;iK3;Mode of nutritional intake;
iK;Oral and Nutritional Status;iK4a;Dentures ;
iK;Oral and Nutritional Status;iK4b;Broken, decayed, fragmented, or loose natural teeth;
iK;Oral and Nutritional Status;iK4c;Difficulty chewing;
iK;Oral and Nutritional Status;iK4d;Dry mouth;
iK;Oral and Nutritional Status;iK4e;Mouth pain;LTC only
iK;Oral and Nutritional Status;iK4f;Gum inflammation - Discolouration, swelling, patches, or bleeding of gum or mouth tissue;LTC only
iK;Oral and Nutritional Status;iK5;Parenteral intake;LTC only
iL;Skin Condition;iL1;Most severe pressure ulcer;
iL;Skin Condition;iL2;Prior pressure ulcer;
iL;Skin Condition;iL3;Other skin ulcer;
iL;Skin Condition;iL4;Major skin problems;
iL;Skin Condition;iL5;Skin tears or cuts (other than surgery);
iL;Skin Condition;iL6;Other skin conditions or changes in skin condition;
iL;Skin Condition;iL7;Foot problems;
iN;Treatments and Procedures;iN1a;Influenza vaccine in last year ;
iN;Treatments and Procedures;iN1b;Pneumovax vaccine - Pneumococcal vaccine in last 5 years or after age 65;
iN;Treatments and Procedures;iN1c;Mammogram or breast exam in last 2 years;
iN;Treatments and Procedures;iN1d;Blood pressure;
iN;Treatments and Procedures;iN1e;Dental exam in last year;
iN;Treatments and Procedures;iN1f;Hearing exam in last 2 years;
iN;Treatments and Procedures;iN1g;Eye exam in last year ;
iN;Treatments and Procedures;iN1h;Colonoscopy in last 5 years;
iN;Treatments and Procedures;iN2a;Chemotherapy;
iN;Treatments and Procedures;iN2b;Dialysis;
iN;Treatments and Procedures;iN2c;Infection control segregation;
iN;Treatments and Procedures;iN2d;IV Medication;
iN;Treatments and Procedures;iN2e;Oxygen therapy;
iN;Treatments and Procedures;iN2f;Radiation;
iN;Treatments and Procedures;iN2g;Suctioning;
iN;Treatments and Procedures;iN2h;Tracheostomy care;
iN;Treatments and Procedures;iN2i;Transfusion;
iN;Treatments and Procedures;iN2j;Ventilator;
iN;Treatments and Procedures;iN2k;Wound care;
iN;Treatments and Procedures;iN2l;Scheduled toileting program;
iN;Treatments and Procedures;iN2m;Palliative care;
iN;Treatments and Procedures;iN2n;Turning program;
iN;Treatments and Procedures;iN3aa;Home health aide - days;HC only
iN;Treatments and Procedures;iN3ab;Home health aide - minutes;HC only
iN;Treatments and Procedures;iN3ba;Home nurse - days;HC only
iN;Treatments and Procedures;iN3bb;Home nurse - minutes;HC only
iN;Treatments and Procedures;iN3ca;Homemaking services - days;HC only
iN;Treatments and Procedures;iN3cb;Homemaking services - minutes;HC only
iN;Treatments and Procedures;iN3da;Meals - days;HC only
iN;Treatments and Procedures;iN3ea;Physical therapy - days;
iN;Treatments and Procedures;iN3eb;Physical therapy - minutes;
iN;Treatments and Procedures;iN3ec;Physical therapy - scheduled;
iN;Treatments and Procedures;iN3fa;Occupational therapy - days;
iN;Treatments and Procedures;iN3fb;Occupational therapy - minutes;
iN;Treatments and Procedures;iN3fc;Occupational therapy - scheduled;
iN;Treatments and Procedures;iN3ga;Speech therapy (Speech-language pathology or audiology services) - days;
iN;Treatments and Procedures;iN3gb;Speech therapy (Speech-language pathology or audiology services) - minutes;
iN;Treatments and Procedures;iN3gc;Speech therapy - scheduled;
iN;Treatments and Procedures;iN3ha;Psychological therapies (Psycho-social therapy) - days;
iN;Treatments and Procedures;iN3hb;Psychological therapies (Psycho-social therapy) - minutes;
iN;Treatments and Procedures;iN3hc;Psychological therapies - scheduled;
iN;Treatments and Procedures;iN3ia;Respiratory therapy - days;
iN;Treatments and Procedures;iN3ib;Respiratory therapy - minutes;
iN;Treatments and Procedures;iN3ic;Respiratory therapy - scheduled;
iN;Treatments and Procedures;iN3ja;Functional rehabilitation or walking program by licensed nurse/health professional - days;
iN;Treatments and Procedures;iN3jb;Functional rehabilitation or walking program by licensed nurse/health professional - minutes;
iN;Treatments and Procedures;iN3jc;Functional rehabilitation or walking program by licensed nurse/health professional - scheduled;
iN;Treatments and Procedures;iN4;Physical restraints;
iN;Treatments and Procedures;iN5a;Overnight hospital stay;
iN;Treatments and Procedures;iN5b;Emergency room/department visit;
iN;Treatments and Procedures;iN5c;Physician visit - 90 days;
iN;Treatments and Procedures;iN6a;Full bed rails;
iN;Treatments and Procedures;iN6b;Trunk restraint;
iN;Treatments and Procedures;iN6c;Chair prevents rising;
iN;Treatments and Procedures;iN7;Number days physician visits;
iN;Treatments and Procedures;iN8;Number days physician orders;LTC only
iO;Responsibility and Directives;iO1a;Legal guardian;
iO;Responsibility and Directives;iO1b;Other legal oversight;
iO;Responsibility and Directives;iO1e;Family member;
iO;Responsibility and Directives;iO2a;Do not resuscitate;
iO;Responsibility and Directives;iO2b;Do not intubate;
iO;Responsibility and Directives;iO2c;Do not hospitalize;
iO;Responsibility and Directives;iO2d;No tube feeding;
iO;Responsibility and Directives;iO2e;Medication restrictions;
iP;Social Supports;iP1a1;Informal help-relationship - 1;HC only
iP;Social Supports;iP1a2;Informal help-relationship - 2;HC only
iP;Social Supports;iP1b1;Lives w/person - 1;HC only
iP;Social Supports;iP1b2;Lives w/person - 2;HC only
iP;Social Supports;iP1c1;IADL care - 1;HC only
iP;Social Supports;iP1c2;IADL care - 2;HC only
iP;Social Supports;iP1d1;ADL care - 1;HC only
iP;Social Supports;iP1d2;ADL care - 2;HC only
iP;Social Supports;iP2a;Unable to continue informal care ;HC only
iP;Social Supports;iP2b;Informal helper stress ;HC only
iP;Social Supports;iP3;Hours of informal care and active monitoring during last 3 days;HC only
iQ;Environmental Assessment;iQ1a;Home disrepair;HC only
iQ;Environmental Assessment;iQ1b;Squalid condition;HC only
iQ;Environmental Assessment;iQ1c;Inadequate heating or cooling;HC only
iQ;Environmental Assessment;iQ1d;Lack of personal safety;HC only
iQ;Environmental Assessment;iQ1e;Limited access to home or rooms in home;HC only
iQ;Environmental Assessment;iQ2;Handicapped re-engineered apartment;HC only
iQ;Environmental Assessment;iQ3a;Emergency assistance available;HC only
iQ;Environmental Assessment;iQ3b;Access to grocery store;HC only
iQ;Environmental Assessment;iQ3c;Home delivery of groceries available;HC only
iQ;Environmental Assessment;iQ4;Trade-offs;HC only
iR;Discharge Potential;iR1;Care goals met;HC only
iR;Discharge Potential;iR2;Self-sufficiency change;
iR;Discharge Potential;iR3;Independent ADL areas;
iR;Discharge Potential;iR4;Independent IADL areas;
iR;Discharge Potential;iR5;Onset of precipitating event;
iR;Discharge Potential;iR6a;Preference to return to community;LTC only
iR;Discharge Potential;iR6b;Support person positive abt. discharge;LTC only
iR;Discharge Potential;iR6c;Housing available in community;LTC only
iR;Discharge Potential;iR7;Expected length of stay;LTC only
iS;Activities and Interests ;iS1b;Time involved in activities (LTCF coding);LTC only
iS;Activities and Interests ;iS2a;Cards/games with others e.g., mahjong, bridge, chess, multipayer video games ;LTC only
iS;Activities and Interests ;iS2b;Using computer, smartphone, tablet, or other similar devices ;LTC only
iS;Activities and Interests ;iS2c;Conversing, talking on the phone or another electronic device;LTC only
iS;Activities and Interests ;iS2d;Crafts or arts;LTC only
iS;Activities and Interests ;iS2e;Dancing;LTC only
iS;Activities and Interests ;iS2f;Exercising or playing sport;LTC only
iS;Activities and Interests ;iS2g;Gardening or tending plants;LTC only
iS;Activities and Interests ;iS2h;Helping others/volunteering;LTC only
iS;Activities and Interests ;iS2i;Singing or playing musical instruments;LTC only
iS;Activities and Interests ;iS2j;Pets;LTC only
iS;Activities and Interests ;iS2k;Reading, writing;LTC only
iS;Activities and Interests ;iS2l;Spiritual activities;LTC only
iS;Activities and Interests ;iS2m;Taking trips or going shopping;LTC only
iS;Activities and Interests ;iS2n;Going outdoors;LTC only
iS;Activities and Interests ;iS2o;Watching TV, listening to radio/music;LTC only
iS;Activities and Interests ;iS2r;Reminiscing with others;LTC only
iS;Activities and Interests ;iS3;Time asleep during day;LTC only
iT;Discharge  ;iT1;Last day of stay;
iT;Discharge  ;iT2;Living status after discharge;
